Date,Open,High,Low,Close,Volume
5-Jun-01,1267.11,1286.62,1267.11,1283.57,11168000
4-Jun-01,1260.67,1267.17,1256.36,1267.11,8365000
1-Jun-01,1255.82,1265.34,1246.88,1260.67,10150000
31-May-01,1248.08,1261.91,1248.07,1255.82,12266000
30-May-01,1267.93,1267.93,1245.96,1248.08,11586000
29-May-01,1277.89,1278.42,1265.41,1267.93,10260000
25-May-01,1293.17,1293.17,1276.42,1277.89,8281000
24-May-01,1289.05,1295.04,1281.22,1293.17,11007000
23-May-01,1309.38,1309.38,1288.70,1289.05,11348000
22-May-01,1312.83,1315.93,1306.89,1309.38,12604000
21-May-01,1291.96,1312.95,1287.87,1312.83,11749000
18-May-01,1288.49,1292.06,1281.15,1291.96,11308000
17-May-01,1284.99,1296.48,1282.65,1288.49,13556000
16-May-01,1249.44,1286.39,1243.02,1284.99,14053000
15-May-01,1248.92,1257.45,1245.36,1249.44,10718000
14-May-01,1245.67,1249.68,1241.02,1248.92,8582000
11-May-01,1255.18,1259.84,1240.79,1245.67,9062000
10-May-01,1255.54,1268.14,1254.56,1255.18,10567000
9-May-01,1261.20,1261.65,1247.83,1255.54,11324000
8-May-01,1266.71,1267.01,1253.00,1261.20,10063000
7-May-01,1266.61,1270.00,1259.19,1263.51,9490000
4-May-01,1248.58,1267.51,1232.00,1266.61,10821000
3-May-01,1267.43,1267.43,1239.88,1248.58,11379000
2-May-01,1266.44,1272.93,1257.70,1267.43,13422000
1-May-01,1249.46,1266.47,1243.55,1266.44,11813000
30-Apr-01,1253.05,1269.30,1243.99,1249.46,12668000
27-Apr-01,1234.52,1253.07,1234.52,1253.05,10913000
26-Apr-01,1228.75,1248.30,1228.75,1234.52,13452000
25-Apr-01,1209.47,1232.36,1207.38,1228.75,12036000
24-Apr-01,1224.36,1233.54,1208.89,1209.47,12165000
23-Apr-01,1242.98,1242.98,1217.47,1224.36,10126000
20-Apr-01,1253.70,1253.70,1234.41,1242.98,13387000
19-Apr-01,1238.16,1253.71,1233.39,1253.69,14868000
18-Apr-01,1191.81,1248.42,1191.81,1238.16,19189000
17-Apr-01,1179.68,1192.25,1168.90,1191.81,11096000
16-Apr-01,1183.50,1184.64,1167.38,1179.68,9139000
12-Apr-01,1165.89,1183.51,1157.73,1183.50,11020000
11-Apr-01,1168.38,1182.24,1160.26,1165.89,12903000
10-Apr-01,1137.59,1173.92,1137.59,1168.38,13496000
9-Apr-01,1128.43,1146.13,1126.38,1137.59,10628000
6-Apr-01,1151.44,1151.44,1119.29,1128.43,12668000
5-Apr-01,1103.25,1151.47,1103.25,1151.44,13680000
4-Apr-01,1106.46,1117.50,1091.99,1103.25,14255900
3-Apr-01,1145.87,1145.87,1100.19,1106.46,13861000
2-Apr-01,1160.33,1169.51,1137.51,1145.87,12549000
30-Mar-01,1147.95,1162.80,1143.83,1160.33,12808000
29-Mar-01,1153.29,1161.69,1136.26,1147.95,12345000
28-Mar-01,1182.17,1182.17,1147.83,1153.29,13334000
27-Mar-01,1152.69,1183.35,1150.96,1182.17,13142000
26-Mar-01,1139.83,1160.02,1139.83,1152.69,11140000
23-Mar-01,1117.58,1141.83,1117.58,1139.83,13649000
22-Mar-01,1122.14,1124.27,1081.19,1117.58,17239500
21-Mar-01,1142.62,1149.39,1118.74,1122.14,13463000
20-Mar-01,1170.81,1180.56,1142.19,1142.62,12359000
19-Mar-01,1150.53,1173.50,1147.18,1170.81,11262000
16-Mar-01,1173.56,1173.56,1148.64,1150.53,15435600
15-Mar-01,1166.71,1182.04,1166.71,1173.56,12595000
14-Mar-01,1197.66,1197.66,1155.35,1166.71,13974000
13-Mar-01,1180.16,1197.83,1171.50,1197.66,13609000
12-Mar-01,1233.42,1233.42,1176.78,1180.16,12290000
9-Mar-01,1264.74,1264.74,1228.42,1233.42,10859000
8-Mar-01,1261.89,1266.50,1257.60,1264.74,11141000
7-Mar-01,1253.80,1263.86,1253.80,1261.89,11322000
6-Mar-01,1241.41,1267.42,1241.41,1253.80,10918000
5-Mar-01,1234.18,1242.55,1234.04,1241.41,9292000
2-Mar-01,1241.23,1251.01,1219.74,1234.18,12940000
1-Mar-01,1239.94,1241.36,1214.50,1241.23,12949000
28-Feb-01,1257.94,1263.47,1229.65,1239.94,12253000
27-Feb-01,1267.65,1272.76,1252.26,1257.94,11141000
26-Feb-01,1245.86,1267.69,1241.71,1267.65,11308000
23-Feb-01,1252.82,1252.82,1215.44,1245.86,12313000
22-Feb-01,1255.27,1259.94,1228.33,1252.82,13659000
21-Feb-01,1278.94,1282.97,1253.16,1255.27,12085000
20-Feb-01,1301.53,1307.16,1278.44,1278.94,11122000
16-Feb-01,1326.61,1326.61,1293.18,1301.53,12572000
15-Feb-01,1315.92,1331.29,1315.92,1326.61,11537000
14-Feb-01,1318.80,1320.73,1304.72,1315.92,11503000
13-Feb-01,1330.31,1336.62,1317.51,1318.80,10752000
12-Feb-01,1314.76,1330.96,1313.64,1330.31,10391000
9-Feb-01,1332.53,1332.53,1309.98,1314.76,10755000
8-Feb-01,1341.10,1350.32,1332.42,1332.53,11072000
7-Feb-01,1352.26,1352.26,1334.26,1340.89,11583000
6-Feb-01,1354.31,1363.55,1350.04,1352.26,10596000
5-Feb-01,1349.47,1354.56,1344.48,1354.31,10130000
2-Feb-01,1373.47,1376.38,1348.72,1349.47,10484000
1-Feb-01,1366.01,1373.50,1359.34,1373.47,11188000
31-Jan-01,1373.73,1383.37,1364.66,1366.01,12953000
30-Jan-01,1364.17,1375.68,1356.20,1373.73,11498000
29-Jan-01,1354.92,1365.54,1350.36,1364.17,10531000
26-Jan-01,1357.51,1357.51,1342.75,1354.95,10980000
25-Jan-01,1364.30,1367.35,1354.63,1357.51,12580000
24-Jan-01,1360.40,1369.75,1357.28,1364.30,13090000
23-Jan-01,1342.90,1362.90,1339.63,1360.40,12326000
22-Jan-01,1342.54,1353.62,1333.84,1342.90,11640000
19-Jan-01,1347.97,1354.55,1336.74,1342.54,14078000
18-Jan-01,1329.89,1352.71,1327.41,1347.97,14450000
17-Jan-01,1326.65,1346.92,1325.41,1329.47,13491000
16-Jan-01,1318.32,1327.81,1313.33,1326.65,12057000
12-Jan-01,1326.82,1333.21,1311.59,1318.55,12760000
11-Jan-01,1313.27,1332.19,1309.72,1326.82,14112000
10-Jan-01,1300.80,1313.76,1287.28,1313.27,12965000
9-Jan-01,1295.86,1311.72,1295.14,1300.80,11913000
8-Jan-01,1298.35,1298.35,1276.29,1295.86,11155000
5-Jan-01,1333.34,1334.77,1294.95,1298.35,14308000
4-Jan-01,1347.56,1350.24,1329.14,1333.34,21310000
3-Jan-01,1283.27,1347.76,1274.62,1347.56,18807000
2-Jan-01,1320.28,1320.28,1276.05,1283.27,11294000
29-Dec-00,1334.22,1340.10,1317.51,1320.28,10355000
28-Dec-00,1328.92,1335.93,1325.78,1334.22,10153000
27-Dec-00,1315.19,1332.03,1310.96,1328.92,10927000
26-Dec-00,1305.97,1315.94,1301.64,1315.19,8065000
22-Dec-00,1274.86,1305.97,1274.86,1305.95,10871000
21-Dec-00,1264.74,1285.31,1254.07,1274.86,14499000
20-Dec-00,1305.60,1305.60,1261.16,1264.74,14216000
19-Dec-00,1322.96,1346.44,1305.20,1305.60,13249000
18-Dec-00,1312.15,1332.32,1312.15,1322.74,11899000
15-Dec-00,1340.93,1340.93,1305.38,1312.15,15611000
14-Dec-00,1359.99,1359.99,1340.48,1340.93,10613000
13-Dec-00,1371.18,1385.82,1358.48,1359.99,11951000
12-Dec-00,1380.20,1380.27,1370.27,1371.18,10834000
11-Dec-00,1369.89,1389.05,1364.14,1380.20,12024000
8-Dec-00,1343.55,1380.33,1343.55,1369.89,13583000
7-Dec-00,1351.46,1353.50,1339.26,1343.55,11280000
6-Dec-00,1376.54,1376.54,1346.15,1351.46,13993000
5-Dec-00,1324.97,1376.56,1324.97,1376.54,9003000
4-Dec-00,1315.18,1332.06,1310.23,1324.97,11030000
1-Dec-00,1314.95,1334.67,1307.02,1315.23,11952000
30-Nov-00,1341.91,1341.91,1294.90,1314.95,11865300
29-Nov-00,1336.09,1352.38,1329.28,1341.93,4021000
28-Nov-00,1348.97,1358.81,1334.97,1336.09,10282000
27-Nov-00,1341.77,1362.50,1341.77,1348.97,9461000
24-Nov-00,1322.36,1343.83,1322.36,1341.77,4048700
22-Nov-00,1347.35,1347.35,1321.89,1322.36,9632000
21-Nov-00,1342.62,1355.87,1333.62,1347.35,11371000
20-Nov-00,1367.72,1367.72,1341.67,1342.62,9558000
17-Nov-00,1372.32,1384.85,1355.55,1367.72,10704000
16-Nov-00,1389.81,1394.76,1370.39,1372.32,9563000
15-Nov-00,1382.95,1395.96,1374.75,1389.81,10668000
14-Nov-00,1351.26,1390.06,1351.26,1382.95,11188000
13-Nov-00,1365.98,1365.98,1328.62,1351.26,11293000
10-Nov-00,1400.14,1400.14,1365.97,1365.98,9625000
9-Nov-00,1409.28,1409.28,1369.68,1400.14,11110000
8-Nov-00,1431.87,1437.28,1408.78,1409.28,9093000
7-Nov-00,1432.19,1436.22,1423.26,1431.87,8809000
6-Nov-00,1428.76,1438.46,1427.72,1432.19,9309000
3-Nov-00,1428.32,1433.21,1420.92,1426.69,9977000
2-Nov-00,1421.22,1433.40,1421.22,1428.32,11677000
1-Nov-00,1429.40,1429.60,1410.45,1421.22,12068000
31-Oct-00,1398.66,1432.22,1398.66,1429.40,13664000
30-Oct-00,1379.58,1406.36,1376.86,1398.66,11865000
27-Oct-00,1364.44,1384.57,1364.13,1379.58,10863000
26-Oct-00,1364.90,1372.72,1337.81,1364.44,13038000
25-Oct-00,1398.13,1398.13,1362.21,1364.90,13156000
24-Oct-00,1395.78,1415.64,1388.13,1398.13,11586000
23-Oct-00,1396.93,1406.96,1387.75,1395.78,10468000
20-Oct-00,1388.76,1408.47,1382.19,1396.93,11774000
19-Oct-00,1342.13,1389.93,1342.13,1388.76,12979000
18-Oct-00,1349.97,1356.65,1305.79,1342.13,14417000
17-Oct-00,1374.62,1380.99,1342.34,1349.97,11615000
16-Oct-00,1374.17,1379.48,1365.06,1374.62,10054000
13-Oct-00,1329.78,1374.17,1327.08,1374.17,12239000
12-Oct-00,1364.59,1374.93,1328.06,1329.78,13886000
11-Oct-00,1387.02,1387.02,1349.67,1364.59,13875000
10-Oct-00,1402.03,1408.83,1383.85,1387.02,10440000
9-Oct-00,1408.99,1409.69,1392.48,1402.03,7166000
